unsure_mode	pass_frac	qa_type	n	acc_gem	acc_gpt	diff	b	c	mcnemar_p	cluster_diff_mean	cluster95_lo	cluster95_hi	leader_matches_pf75
exclude	0.95	3	58	0.39655172413793105	0.5344827586206896	-0.13793103448275856	6	14	0.11531829833984375	-0.13764522571460464	-0.2678571428571429	0.0	True
exclude	1.0	1	84	0.6428571428571429	0.5476190476190477	0.09523809523809523	17	9	0.16863754391670227	0.09515510078043987	-0.02352941176470591	0.2117647058823529	True
exclude	1.0	2	63	0.5555555555555556	0.5555555555555556	0.0	11	11	1.0	-0.0002664178338190023	-0.14516129032258068	0.14754098360655732	False
exclude	1.0	3	58	0.39655172413793105	0.5344827586206896	-0.13793103448275856	6	14	0.11531829833984375	-0.13860480079930704	-0.2692307692307692	-0.016393442622950782	True
zero	0.5	1	340	0.5970588235294118	0.5735294117647058	0.02352941176470591	62	54	0.5159130749957945	0.023778783574594425	-0.039040716694347985	0.08630952380952384	True
zero	0.5	2	447	0.5838926174496645	0.5413870246085011	0.0425055928411634	82	63	0.13468540318097644	0.04275341358259677	-0.010799136069114423	0.09547006329770667	True
zero	0.5	3	471	0.4182590233545648	0.5159235668789809	-0.09766454352441611	64	110	0.0006052447871282059	-0.09785370870364628	-0.15824404761904756	-0.038709348925826156	True
zero	0.55	1	332	0.6054216867469879	0.5692771084337349	0.03614457831325302	62	50	0.29859285283284615	0.03575067756462469	-0.027305050987063872	0.09850746268656718	True
zero	0.55	2	444	0.5833333333333334	0.545045045045045	0.03828828828828834	80	63	0.18070108584148575	0.037928407778110004	-0.013544018058690658	0.09130458990994483	True
zero	0.55	3	466	0.4206008583690987	0.5214592274678111	-0.10085836909871243	63	110	0.00043689152021394973	-0.10063499119948845	-0.1612200435729848	-0.0398276674147342	True
zero	0.6	1	332	0.6054216867469879	0.5692771084337349	0.03614457831325302	62	50	0.29859285283284615	0.035922448201328755	-0.02515921671329087	0.09816087861524975	True
zero	0.6	2	427	0.5878220140515222	0.5456674473067916	0.042154566744730615	79	61	0.1505276971716133	0.04234932617612462	-0.01174057408584529	0.09647261663285998	True
zero	0.6	3	440	0.42727272727272725	0.5318181818181819	-0.10454545454545461	58	104	0.0003750396788702643	-0.10458318411789365	-0.1643526445966515	-0.04484304932735428	True
zero	0.65	1	308	0.6168831168831169	0.5811688311688312	0.0357142857142857	57	46	0.32447878028806587	0.03565231159484512	-0.03050847457627126	0.10197536251342641	True
zero	0.65	2	420	0.5952380952380952	0.55	0.04523809523809519	78	59	0.12377482507747656	0.04584356184347436	-0.007093040885429835	0.10021811306147364	True
zero	0.65	3	429	0.42657342657342656	0.5291375291375291	-0.10256410256410253	57	101	0.00058012706868924	-0.10257608648056335	-0.1644144144144144	-0.04187163478061635	True
zero	0.7	1	308	0.6168831168831169	0.5811688311688312	0.0357142857142857	57	46	0.32447878028806587	0.03538905012424418	-0.030100838135149383	0.10164613135637461	True
zero	0.7	2	362	0.5939226519337016	0.5303867403314917	0.06353591160220995	72	49	0.045051739725735895	0.06350248282535183	0.005249343832021025	0.12245043316471887	True
zero	0.7	3	362	0.45027624309392267	0.5552486187845304	-0.10497237569060769	49	87	0.0014186377419933976	-0.10493026427412629	-0.17125424502002123	-0.040870544403047285	True
zero	0.75	1	303	0.6204620462046204	0.5841584158415841	0.0363036303630363	56	45	0.3197273207002655	0.03652032749370623	-0.029126213592232997	0.10191896786797161	True
zero	0.75	2	362	0.5939226519337016	0.5303867403314917	0.06353591160220995	72	49	0.045051739725735895	0.0632773363045152	0.005390473292177476	0.12290617272644011	True
zero	0.75	3	331	0.45317220543806647	0.552870090634441	-0.09969788519637457	45	78	0.0037314457550981723	-0.10015071790795115	-0.16618447082096935	-0.03323262839879154	True
zero	0.8	1	225	0.64	0.5644444444444444	0.0755555555555556	45	28	0.060370037339928545	0.07558178195743928	0.0	0.14864864864864868	True
zero	0.8	2	265	0.6226415094339622	0.5509433962264151	0.07169811320754715	53	34	0.05300311301096222	0.07132821042644394	0.0	0.13962264150943393	True
zero	0.8	3	269	0.4795539033457249	0.5724907063197026	-0.09293680297397766	36	61	0.014389633007095661	-0.09332239244210093	-0.16479400749063666	-0.02573529411764708	True
zero	0.85	1	225	0.64	0.5644444444444444	0.0755555555555556	45	28	0.060370037339928545	0.07565735627592667	0.00420080532212884	0.14798206278026904	True
zero	0.85	2	265	0.6226415094339622	0.5509433962264151	0.07169811320754715	53	34	0.05300311301096222	0.0723814504160495	0.0037453183520599342	0.14035921552931752	True
zero	0.85	3	238	0.49159663865546216	0.5672268907563025	-0.07563025210084034	34	52	0.06615259746138928	-0.07496346906579598	-0.15151825633383012	0.0	True
zero	0.9	1	84	0.6428571428571429	0.5476190476190477	0.09523809523809523	17	9	0.16863754391670227	0.09559927285360166	-0.023529411764705802	0.2117647058823529	True
zero	0.9	2	62	0.5645161290322581	0.5645161290322581	0.0	11	11	1.0	0.00025229649141454415	-0.14516129032258068	0.15000000000000002	False
zero	0.9	3	102	0.45098039215686275	0.5392156862745098	-0.08823529411764702	15	24	0.19959086691960692	-0.0890301938715076	-0.20588235294117646	0.028301886792452824	True
zero	0.95	1	84	0.6428571428571429	0.5476190476190477	0.09523809523809523	17	9	0.16863754391670227	0.09506980069328377	-0.02352941176470591	0.2105409356725144	True
zero	0.95	2	62	0.5645161290322581	0.5645161290322581	0.0	11	11	1.0	0.0004130071016626989	-0.14754098360655743	0.15254237288135591	False
zero	0.95	3	57	0.40350877192982454	0.543859649122807	-0.1403508771929825	6	14	0.11531829833984375	-0.14051095171379294	-0.2727272727272727	-0.016129032258064502	True
zero	1.0	1	84	0.6428571428571429	0.5476190476190477	0.09523809523809523	17	9	0.16863754391670227	0.09511843992218795	-0.02352941176470591	0.2142857142857143	True
zero	1.0	2	62	0.5645161290322581	0.5645161290322581	0.0	11	11	1.0	0.0014572195922651098	-0.14754098360655737	0.15517241379310348	False
zero	1.0	3	57	0.40350877192982454	0.543859649122807	-0.1403508771929825	6	14	0.11531829833984375	-0.14026584981253046	-0.27586206896551724	-0.016129032258064502	True
half	0.5	1	343	0.597667638483965	0.5743440233236151	0.023323615160349864	63	55	0.5194908187566281	0.02262597867227255	-0.04057971014492756	0.08734939759036142	True
half	0.5	2	448	0.5825892857142857	0.5401785714285714	0.0424107142857143	82	63	0.13468540318097644	0.042643545587846145	-0.011135857461024416	0.0958904109589041	True
half	0.5	3	478	0.41631799163179917	0.5167364016736402	-0.10041841004184104	64	112	0.0003671303937640988	-0.1001153493956403	-0.16228180044299126	-0.0394178619270102	True
half	0.55	1	335	0.6059701492537314	0.5701492537313433	0.035820895522388096	63	51	0.30287755263032495	0.03588993360428669	-0.026548672566371723	0.09970674486803521	True
half	0.55	2	444	0.5833333333333334	0.545045045045045	0.03828828828828834	80	63	0.18070108584148575	0.03834118284579618	-0.013544784123060599	0.0913391039475899	True
half	0.55	3	474	0.4177215189873418	0.5210970464135021	-0.1033755274261603	63	112	0.00026216812968672166	-0.10308417584925564	-0.1627930951810117	-0.04414929879236464	True
