unsure_mode	pass_frac	qa_type	model	n	accuracy
zero	0.95	3	gpt54mini	57	0.47368421052631576
zero	1.0	1	gpt55	84	0.5476190476190477
zero	1.0	1	gemini31pro	84	0.6428571428571429
zero	1.0	1	gemini31flashlite	84	0.4523809523809524
zero	1.0	1	gpt54mini	84	0.6190476190476191
zero	1.0	2	gpt55	62	0.5645161290322581
zero	1.0	2	gemini31pro	62	0.5645161290322581
zero	1.0	2	gemini31flashlite	62	0.41935483870967744
zero	1.0	2	gpt54mini	62	0.5967741935483871
zero	1.0	3	gpt55	57	0.543859649122807
zero	1.0	3	gemini31pro	57	0.40350877192982454
zero	1.0	3	gemini31flashlite	57	0.17543859649122806
zero	1.0	3	gpt54mini	57	0.47368421052631576
half	0.5	1	gpt55	343	0.5743440233236151
half	0.5	1	gemini31pro	343	0.597667638483965
half	0.5	1	gemini31flashlite	343	0.4314868804664723
half	0.5	1	gpt54mini	343	0.6034985422740525
half	0.5	2	gpt55	448	0.5401785714285714
half	0.5	2	gemini31pro	448	0.5825892857142857
half	0.5	2	gemini31flashlite	448	0.4174107142857143
half	0.5	2	gpt54mini	448	0.6138392857142857
half	0.5	3	gpt55	478	0.5167364016736402
half	0.5	3	gemini31pro	478	0.41631799163179917
half	0.5	3	gemini31flashlite	478	0.20920502092050208
half	0.5	3	gpt54mini	478	0.4476987447698745
half	0.55	1	gpt55	335	0.5701492537313433
half	0.55	1	gemini31pro	335	0.6059701492537314
half	0.55	1	gemini31flashlite	335	0.43582089552238806
half	0.55	1	gpt54mini	335	0.6059701492537314
half	0.55	2	gpt55	444	0.545045045045045
half	0.55	2	gemini31pro	444	0.5833333333333334
half	0.55	2	gemini31flashlite	444	0.4189189189189189
half	0.55	2	gpt54mini	444	0.6171171171171171
half	0.55	3	gpt55	474	0.5210970464135021
half	0.55	3	gemini31pro	474	0.4177215189873418
half	0.55	3	gemini31flashlite	474	0.2109704641350211
half	0.55	3	gpt54mini	474	0.45147679324894513
half	0.6	1	gpt55	335	0.5701492537313433
half	0.6	1	gemini31pro	335	0.6059701492537314
half	0.6	1	gemini31flashlite	335	0.43582089552238806
half	0.6	1	gpt54mini	335	0.6059701492537314
half	0.6	2	gpt55	427	0.5456674473067916
half	0.6	2	gemini31pro	427	0.5878220140515222
half	0.6	2	gemini31flashlite	427	0.4168618266978923
half	0.6	2	gpt54mini	427	0.629976580796253
half	0.6	3	gpt55	445	0.5303370786516854
half	0.6	3	gemini31pro	445	0.4247191011235955
half	0.6	3	gemini31flashlite	445	0.20898876404494382
half	0.6	3	gpt54mini	445	0.451685393258427
half	0.65	1	gpt55	311	0.5819935691318328
half	0.65	1	gemini31pro	311	0.617363344051447
half	0.65	1	gemini31flashlite	311	0.4437299035369775
half	0.65	1	gpt54mini	311	0.6205787781350482
half	0.65	2	gpt55	420	0.55
half	0.65	2	gemini31pro	420	0.5952380952380952
half	0.65	2	gemini31flashlite	420	0.41904761904761906
half	0.65	2	gpt54mini	420	0.6309523809523809
half	0.65	3	gpt55	435	0.5287356321839081
half	0.65	3	gemini31pro	435	0.42528735632183906
half	0.65	3	gemini31flashlite	435	0.21149425287356322
half	0.65	3	gpt54mini	435	0.4482758620689655
half	0.7	1	gpt55	311	0.5819935691318328
