unsure_mode	pass_frac	qa_type	n	acc_gem	acc_gpt	diff	b	c	mcnemar_p	cluster_diff_mean	cluster95_lo	cluster95_hi	leader_matches_pf75	holm_significant
zero	0.9	2	62	0.5645161290322581	0.5645161290322581	0.0	11	11	1.0	0.0002522964914145	-0.1451612903225806	0.15	False	False
zero	0.9	3	102	0.4509803921568627	0.5392156862745098	-0.088235294117647	15	24	0.1995908669196069	-0.0890301938715076	-0.2058823529411764	0.0283018867924528	True	False
zero	0.95	1	84	0.6428571428571429	0.5476190476190477	0.0952380952380952	17	9	0.1686375439167022	0.0950698006932837	-0.0235294117647059	0.2105409356725144	True	False
zero	0.95	2	62	0.5645161290322581	0.5645161290322581	0.0	11	11	1.0	0.0004130071016626	-0.1475409836065574	0.1525423728813559	False	False
zero	0.95	3	57	0.4035087719298245	0.543859649122807	-0.1403508771929825	6	14	0.1153182983398437	-0.1405109517137929	-0.2727272727272727	-0.0161290322580645	True	False
zero	1.0	1	84	0.6428571428571429	0.5476190476190477	0.0952380952380952	17	9	0.1686375439167022	0.0951184399221879	-0.0235294117647059	0.2142857142857143	True	False
zero	1.0	2	62	0.5645161290322581	0.5645161290322581	0.0	11	11	1.0	0.0014572195922651	-0.1475409836065573	0.1551724137931034	False	False
zero	1.0	3	57	0.4035087719298245	0.543859649122807	-0.1403508771929825	6	14	0.1153182983398437	-0.1402658498125304	-0.2758620689655172	-0.0161290322580645	True	False
half	0.5	1	343	0.597667638483965	0.5743440233236151	0.0233236151603498	63	55	0.5194908187566281	0.0226259786722725	-0.0405797101449275	0.0873493975903614	True	False
half	0.5	2	448	0.5825892857142857	0.5401785714285714	0.0424107142857143	82	63	0.1346854031809764	0.0426435455878461	-0.0111358574610244	0.0958904109589041	True	False
half	0.5	3	478	0.4163179916317991	0.5167364016736402	-0.100418410041841	64	112	0.000367130393764	-0.1001153493956403	-0.1622818004429912	-0.0394178619270102	True	True
half	0.55	1	335	0.6059701492537314	0.5701492537313433	0.035820895522388	63	51	0.3028775526303249	0.0358899336042866	-0.0265486725663717	0.0997067448680352	True	False
half	0.55	2	444	0.5833333333333334	0.545045045045045	0.0382882882882883	80	63	0.1807010858414857	0.0383411828457961	-0.0135447841230605	0.0913391039475899	True	False
half	0.55	3	474	0.4177215189873418	0.5210970464135021	-0.1033755274261603	63	112	0.0002621681296867	-0.1030841758492556	-0.1627930951810117	-0.0441492987923646	True	True
half	0.6	1	335	0.6059701492537314	0.5701492537313433	0.035820895522388	63	51	0.3028775526303249	0.0360502944040538	-0.0288184438040345	0.0999999999999999	True	False
half	0.6	2	427	0.5878220140515222	0.5456674473067916	0.0421545667447306	79	61	0.1505276971716133	0.0421023530475161	-0.0120206823671497	0.0981319079930012	True	False
half	0.6	3	445	0.4247191011235955	0.5303370786516854	-0.1056179775280899	58	105	0.0002881495418529	-0.1053684982073903	-0.1663068105937452	-0.0466186252771618	True	True
half	0.65	1	311	0.617363344051447	0.5819935691318328	0.0353697749196142	58	47	0.3291371261661389	0.0359995146372991	-0.0298013245033113	0.1014020979020978	True	False
half	0.65	2	420	0.5952380952380952	0.55	0.0452380952380951	78	59	0.1237748250774765	0.0452698457519308	-0.0089691137199575	0.0990343861088323	True	False
half	0.65	3	435	0.425287356321839	0.5287356321839081	-0.103448275862069	57	102	0.0004473475174537	-0.1037326760587873	-0.1655692492228679	-0.0428571428571428	True	True
half	0.7	1	311	0.617363344051447	0.5819935691318328	0.0353697749196142	58	47	0.3291371261661389	0.035569224483582	-0.0303030303030302	0.1023102310231022	True	False
half	0.7	2	363	0.5922865013774105	0.5316804407713499	0.0606060606060605	72	50	0.0568226889231751	0.0606008148207293	0.002680965147453	0.1183431952662721	True	False
half	0.7	3	367	0.4495912806539509	0.555858310626703	-0.106267029972752	49	88	0.0010910236162357	-0.1059288989740222	-0.1727748691099476	-0.0409824082063081	True	True
half	0.75	1	306	0.6209150326797386	0.5849673202614379	0.0359477124183006	57	46	0.3244787802880658	0.0366965334030097	-0.0303030303030302	0.1047305341055341	True	False
half	0.75	2	363	0.5922865013774105	0.5316804407713499	0.0606060606060605	72	50	0.0568226889231751	0.0608696934060284	0.0026666666666667	0.1201046209723296	True	False
half	0.75	3	332	0.4548192771084337	0.5542168674698795	-0.0993975903614458	45	78	0.0037314457550981	-0.0993832566751044	-0.1656254792944785	-0.034375	True	True
half	0.8	1	225	0.64	0.5644444444444444	0.0755555555555556	45	28	0.0603700373399285	0.0757437976238647	0.0	0.1491277685163133	True	False
half	0.8	2	265	0.6226415094339622	0.5509433962264151	0.0716981132075471	53	34	0.0530031130109622	0.0721498264252719	0.003690036900369	0.1418296378418328	True	False
half	0.8	3	271	0.4760147601476014	0.5719557195571956	-0.0959409594095941	36	62	0.0111745442147711	-0.0955813768266882	-0.167857794577685	-0.0261169755312656	True	True
half	0.85	1	225	0.64	0.5644444444444444	0.0755555555555556	45	28	0.0603700373399285	0.0753832458719371	0.0	0.1486533626649905	True	False
half	0.85	2	265	0.6226415094339622	0.5509433962264151	0.0716981132075471	53	34	0.0530031130109622	0.0720110087650097	0.0037037037037037	0.1423360911239837	True	False
half	0.85	3	241	0.4854771784232365	0.5684647302904564	-0.0829875518672199	34	54	0.0422106116224041	-0.0832978692741565	-0.1614173228346456	-0.0043668122270742	True	False
half	0.9	1	84	0.6428571428571429	0.5476190476190477	0.0952380952380952	17	9	0.1686375439167022	0.0949298409574085	-0.0238095238095237	0.2125	True	False
half	0.9	2	63	0.5555555555555556	0.5555555555555556	0.0	11	11	1.0	0.0018220100599713	-0.1428571428571428	0.1538461538461538	False	False
half	0.9	3	104	0.4423076923076923	0.5384615384615384	-0.0961538461538461	15	25	0.1538599441628321	-0.0959456675716299	-0.2105263157894736	0.019047619047619	True	False
half	0.95	1	84	0.6428571428571429	0.5476190476190477	0.0952380952380952	17	9	0.1686375439167022	0.0958049992673999	-0.0235294117647059	0.2125	True	False
half	0.95	2	63	0.5555555555555556	0.5555555555555556	0.0	11	11	1.0	0.0007419178900039	-0.1428571428571429	0.1499999999999999	False	False
half	0.95	3	58	0.396551724137931	0.5344827586206896	-0.1379310344827585	6	14	0.1153182983398437	-0.138439829346868	-0.2727272727272727	0.0	True	False
half	1.0	1	84	0.6428571428571429	0.5476190476190477	0.0952380952380952	17	9	0.1686375439167022	0.0958938969057079	-0.0232558139534883	0.2117647058823529	True	False
half	1.0	2	63	0.5555555555555556	0.5555555555555556	0.0	11	11	1.0	-0.0004224449267612	-0.1451612903225806	0.1475409836065574	False	False
half	1.0	3	58	0.396551724137931	0.5344827586206896	-0.1379310344827585	6	14	0.1153182983398437	-0.1384138276913185	-0.2727272727272727	0.0	True	False
